ts_open,old_instrument_id,new_instrument_id,gap,roll_date,gap_source
2016-03-14 00:00:00+00:00,49705,6505,-9.25,2016-03-14,boundary_estimate
2016-06-13 00:00:00+00:00,6505,2615,-9.25,2016-06-13,boundary_estimate
2016-09-12 00:00:00+00:00,2615,2928,-6.75,2016-09-12,boundary_estimate
2016-12-13 00:00:00+00:00,2928,35903,-5.5,2016-12-13,boundary_estimate
2017-03-13 00:00:00+00:00,35903,9006,-3.0,2017-03-13,boundary_estimate
2017-06-12 00:00:00+00:00,9006,24842,-2.0,2017-06-12,boundary_estimate
2017-09-11 00:00:00+00:00,24842,23936,-1.75,2017-09-11,boundary_estimate
2017-12-11 00:00:00+00:00,23936,21168,3.0,2017-12-11,boundary_estimate
2018-03-14 00:00:00+00:00,21168,23252,4.25,2018-03-14,boundary_estimate
2018-06-13 00:00:00+00:00,23252,57287,4.25,2018-06-13,boundary_estimate
2018-09-17 00:00:00+00:00,57287,16114,5.25,2018-09-17,boundary_estimate
2018-12-17 00:00:00+00:00,16114,18720,3.5,2018-12-17,boundary_estimate
2019-03-11 00:00:00+00:00,18720,736,4.5,2019-03-11,boundary_estimate
2019-06-17 00:00:00+00:00,736,37699,4.25,2019-06-17,boundary_estimate
2019-09-16 00:00:00+00:00,37699,16145,2.0,2019-09-16,boundary_estimate
2019-12-16 00:00:00+00:00,16145,10571,3.0,2019-12-16,boundary_estimate
2020-03-18 00:00:00+00:00,10571,21336,-14.5,2020-03-18,boundary_estimate
2020-06-17 00:00:00+00:00,21336,12181,-10.75,2020-06-17,boundary_estimate
2020-09-14 00:00:00+00:00,12181,19100,-10.5,2020-09-14,boundary_estimate
2020-12-14 00:00:00+00:00,19100,5482,-7.25,2020-12-14,boundary_estimate
2021-03-15 00:00:00+00:00,5482,3853,-9.0,2021-03-15,boundary_estimate
2021-06-14 00:00:00+00:00,3853,1030,-9.0,2021-06-14,boundary_estimate
2021-09-13 00:00:00+00:00,1030,8858,-9.25,2021-09-13,boundary_estimate
2021-12-13 00:00:00+00:00,8858,5782,-7.5,2021-12-13,boundary_estimate
2022-03-14 00:00:00+00:00,5782,3403,-9.5,2022-03-14,boundary_estimate
2022-06-15 00:00:00+00:00,3403,97042,3.25,2022-06-15,boundary_estimate
2022-09-14 00:00:00+00:00,97042,206323,19.0,2022-09-14,boundary_estimate
2022-12-14 00:00:00+00:00,206323,206299,33.5,2022-12-14,boundary_estimate
2023-03-15 00:00:00+00:00,206299,95414,33.0,2023-03-15,boundary_estimate
2023-06-14 00:00:00+00:00,95414,3445,45.25,2023-06-14,boundary_estimate
2023-09-13 00:00:00+00:00,3445,314863,48.75,2023-09-13,boundary_estimate
2023-12-13 00:00:00+00:00,314863,17077,52.0,2023-12-13,boundary_estimate
2024-03-13 00:00:00+00:00,17077,5602,63.25,2024-03-13,boundary_estimate
2024-06-19 00:00:00+00:00,5602,118,69.25,2024-06-19,boundary_estimate
2024-09-18 00:00:00+00:00,118,183748,61.5,2024-09-18,boundary_estimate
2024-12-18 00:00:00+00:00,183748,5002,74.0,2024-12-18,boundary_estimate
2025-03-19 00:00:00+00:00,5002,4916,51.25,2025-03-19,boundary_estimate
2025-06-18 00:00:00+00:00,4916,14160,53.75,2025-06-18,boundary_estimate
2025-09-17 00:00:00+00:00,14160,294973,57.0,2025-09-17,boundary_estimate
2025-12-17 00:00:00+00:00,294973,42140878,55.0,2025-12-17,boundary_estimate
2026-03-18 00:00:00+00:00,42140878,42140864,51.5,2026-03-18,boundary_estimate
2026-06-17 00:00:00+00:00,42140864,42140870,68.25,2026-06-17,boundary_estimate
