ts_open,old_instrument_id,new_instrument_id,gap,roll_date,gap_source
2016-03-14 00:00:00+00:00,49734,765,-8.0,2016-03-14,daily_overlap
2016-06-13 00:00:00+00:00,765,2563,-8.25,2016-06-13,daily_overlap
2016-09-12 00:00:00+00:00,2563,2887,-4.25,2016-09-12,daily_overlap
2016-12-13 00:00:00+00:00,2887,35888,-0.5,2016-12-13,daily_overlap
2017-03-13 00:00:00+00:00,35888,6398,3.0,2017-03-13,daily_overlap
2017-06-12 00:00:00+00:00,6398,26054,8.25,2017-06-12,daily_overlap
2017-09-11 00:00:00+00:00,26054,15466,8.0,2017-09-11,daily_overlap
2017-12-11 00:00:00+00:00,15466,16210,18.0,2017-12-11,daily_overlap
2018-03-12 00:00:00+00:00,16210,23520,26.5,2018-03-12,daily_overlap
2018-06-11 00:00:00+00:00,23520,47511,25.5,2018-06-11,daily_overlap
2018-09-17 00:00:00+00:00,47511,16041,28.5,2018-09-17,daily_overlap
2018-12-17 00:00:00+00:00,16041,15657,22.5,2018-12-17,daily_overlap
2019-03-11 00:00:00+00:00,15657,9166,26.75,2019-03-11,daily_overlap
2019-06-19 00:00:00+00:00,9166,36742,27.0,2019-06-19,daily_overlap
2019-09-16 00:00:00+00:00,36742,15907,23.0,2019-09-16,daily_overlap
2019-12-16 00:00:00+00:00,15907,10204,29.25,2019-12-16,daily_overlap
2020-03-18 00:00:00+00:00,10204,16908,-19.0,2020-03-18,daily_overlap
2020-06-17 00:00:00+00:00,16908,14028,-12.25,2020-06-17,daily_overlap
2020-09-16 00:00:00+00:00,14028,16337,-13.75,2020-09-16,daily_overlap
2020-12-16 00:00:00+00:00,16337,4378,4.5,2020-12-16,daily_overlap
2021-03-17 00:00:00+00:00,4378,2786,-11.5,2021-03-17,daily_overlap
2021-06-16 00:00:00+00:00,2786,828,-8.5,2021-06-16,daily_overlap
2021-09-15 00:00:00+00:00,828,2770,-8.0,2021-09-15,daily_overlap
2021-12-13 00:00:00+00:00,2770,3541,-0.25,2021-12-13,daily_overlap
2022-03-16 00:00:00+00:00,3541,2895,-3.25,2022-03-16,daily_overlap
2022-06-15 00:00:00+00:00,2895,10391,35.25,2022-06-15,daily_overlap
2022-09-14 00:00:00+00:00,10391,13613,79.75,2022-09-14,daily_overlap
2022-12-14 00:00:00+00:00,13613,20631,119.5,2022-12-14,daily_overlap
2023-03-15 00:00:00+00:00,20631,3522,127.75,2023-03-15,daily_overlap
2023-06-14 00:00:00+00:00,3522,2130,184.25,2023-06-14,daily_overlap
2023-09-13 00:00:00+00:00,2130,260937,194.75,2023-09-13,daily_overlap
2023-12-13 00:00:00+00:00,260937,750,210.75,2023-12-13,daily_overlap
2024-03-13 00:00:00+00:00,750,13743,250.0,2024-03-13,daily_overlap
2024-06-19 00:00:00+00:00,13743,4358,276.5,2024-06-19,daily_overlap
2024-09-18 00:00:00+00:00,4358,106364,233.5,2024-09-18,daily_overlap
2024-12-19 00:00:00+00:00,106364,42288528,266.75,2024-12-19,daily_overlap
2025-03-20 00:00:00+00:00,42288528,42005804,203.0,2025-03-20,daily_overlap
2025-06-18 00:00:00+00:00,42005804,42008487,225.0,2025-06-18,daily_overlap
2025-09-18 00:00:00+00:00,42008487,158704,244.5,2025-09-18,daily_overlap
2025-12-17 00:00:00+00:00,158704,42002475,227.0,2025-12-17,daily_overlap
2026-03-18 00:00:00+00:00,42002475,42004058,206.25,2026-03-18,daily_overlap
2026-06-17 00:00:00+00:00,42004058,42004177,325.25,2026-06-17,daily_overlap
